transaction_id,username,email,transaction_date,payment_method,amount_spent,transaction_status,delivery_address,product_category,discount_applied
1,Christina Richards,thood@example.org,2025-01-14,VISA 16 digit,34203042,Failed,"02442 Richard Causeway Apt. 776
Garzaport, NJ 92145",Electronics,51
2,Jennifer Joseph,anne04@example.org,2025-02-14,JCB 15 digit,358924705,Pending,"439 Daniel Freeway
Tamimouth, SC 02498",Electronics,8
3,Colin Figueroa,alyssaphelps@example.com,2025-01-20,VISA 13 digit,537,Pending,"054 Barrett Mission Apt. 026
Lake Steven, OR 84511",Groceries,6
4,James Wilson,laura71@example.net,2025-02-08,JCB 15 digit,108,Failed,"82063 Dixon Manors Apt. 675
Davidmouth, WA 91132",Groceries,27
5,Briana Brooks,charles58@example.org,2025-01-31,JCB 16 digit,741,Pending,"98713 Wanda Port
Parkerton, LA 20424",Electronics,26
6,Samantha Hartman,turnerdanielle@example.com,2025-02-01,VISA 16 digit,711827381,Completed,"26235 Madden Islands
Robertoport, PR 55051",Clothing,42
7,Cassie Le,leejenna@example.com,2025-02-02,VISA 16 digit,30,Completed,"0526 Donald Burgs Suite 187
Oliviahaven, RI 60344",Clothing,96
8,Matthew Smith,amandastafford@example.net,2025-02-14,VISA 16 digit,234,Pending,"4774 Ryan Mission Suite 872
Dixonside, CA 08063",Clothing,40
9,David Morton,matthewjackson@example.com,2025-02-09,JCB 15 digit,69940,Failed,"USCGC Baker
FPO AP 32266",Electronics,4
10,Laura Riley,jenniferjohnson@example.com,2025-01-16,VISA 19 digit,502189,Failed,"981 Bush Locks
South Jonathanmouth, NC 40284",Electronics,79
11,Tammy Nelson,krystal21@example.com,2025-02-09,JCB 15 digit,92,Pending,"13219 Miles Plains
Davidburgh, OH 58169",Electronics,67
12,Philip Gonzalez,natasha52@example.net,2025-01-26,JCB 15 digit,86918494,Completed,"2397 Bolton Plains
Port Pamelaville, MT 95002",Clothing,23
13,Jeremy Walsh,pbrown@example.net,2025-01-22,JCB 16 digit,256,Failed,"USNV Cook
FPO AA 57568",Electronics,61
